what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269311673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269339337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269350386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269370480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269393350
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269394395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269518365
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269519612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269634300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497270865544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497270873162
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497270875768
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497270875877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497270878201
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497270878654
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1497270880494
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1497270880510
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1497270880510
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1497270880510
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1497270880526
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1497270880526
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1497270880588
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1497270880588
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1497270880588
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1497270880588
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1497270880666
